repo_index,generation_time_sec,input_depth,input_max_branch,input_min_branch,input_tree_type,input_num_roa,input_seed,depth,num_ca,max_branch,leaf_count,num_roa,num_mft,num_crl,num_cert
0,10.802,82,1,1,sparse,2,42,81,82,1,1,164,82,82,83
1,1.206,5,2,1,random,2,43,4,5,1,1,10,5,5,7
2,0.224,53,1,1,random,1,44,0,1,0,1,1,1,1,2
3,0.982,35,2,2,random,1,45,3,6,2,2,6,6,6,8
4,13.71,10,2,1,sparse,3,46,9,68,2,22,204,68,68,99
5,6.841,46,1,1,sparse,2,47,45,46,1,1,92,46,46,47
6,4.464,32,1,1,full,3,51,31,32,1,1,96,32,32,33
7,0.339,35,1,1,random,2,52,0,1,0,1,2,1,1,2
8,11.391,79,1,1,sparse,3,53,78,79,1,1,237,79,79,80
9,6.221,18,2,2,random,2,54,17,33,2,6,66,33,33,46
10,1.657,12,1,1,sparse,2,55,11,12,1,1,24,12,12,13
11,9.374,72,1,1,sparse,3,56,71,72,1,1,216,72,72,73
12,17.662,6,2,1,full,3,57,5,63,2,32,189,63,63,127
13,10.453,75,1,1,sparse,3,58,74,75,1,1,225,75,75,76
14,3.674,29,1,1,full,1,59,28,29,1,1,29,29,29,30
15,1.127,40,2,1,random,1,60,3,7,2,2,7,7,7,10
16,0.312,64,1,1,random,2,61,0,1,0,1,2,1,1,2
17,9.204,74,1,1,full,2,62,73,74,1,1,148,74,74,75
18,1.928,57,2,2,random,2,63,7,10,2,2,20,10,10,15
19,8.431,61,1,1,sparse,3,64,60,61,1,1,183,61,61,62
20,0.279,10,1,1,random,2,67,0,1,0,1,2,1,1,2
21,10.916,88,1,1,full,1,69,87,88,1,1,88,88,88,89
22,1.053,16,2,2,random,1,70,4,6,2,2,6,6,6,8
23,5.375,42,1,1,full,1,71,41,42,1,1,42,42,42,43
24,1.241,10,1,1,sparse,3,72,9,10,1,1,30,10,10,11
25,4.721,36,1,1,sparse,1,73,35,36,1,1,36,36,36,37
26,10.276,79,1,1,full,2,74,78,79,1,1,158,79,79,80
27,4.094,25,1,1,sparse,3,78,24,25,1,1,75,25,25,26
28,3.416,35,2,2,random,2,80,10,18,2,5,36,18,18,28
29,0.459,94,2,1,random,1,84,1,2,1,1,2,2,2,4
30,3.327,26,1,1,full,1,85,25,26,1,1,26,26,26,27
31,12.22,100,1,1,sparse,1,86,99,100,1,1,100,100,100,101
32,0.227,19,1,1,random,2,87,0,1,0,1,2,1,1,2
33,7.37,51,1,1,full,3,88,50,51,1,1,153,51,51,52
34,0.907,11,2,1,random,1,89,3,5,2,2,5,5,5,8
35,4.05,27,1,1,sparse,3,90,26,27,1,1,81,27,27,28
36,0.224,11,1,1,random,2,91,0,1,0,1,2,1,1,2
37,0.302,70,1,1,random,2,94,0,1,0,1,2,1,1,2
38,11.445,98,1,1,full,1,95,97,98,1,1,98,98,98,99
39,0.257,46,1,1,random,1,98,0,1,0,1,1,1,1,2
40,0.558,75,1,1,random,1,101,2,3,1,1,3,3,3,4
41,0.268,3,1,1,random,2,104,0,1,0,1,2,1,1,2
42,3.976,32,2,2,random,1,107,13,21,2,5,21,21,21,33
43,2.258,17,1,1,sparse,2,108,16,17,1,1,34,17,17,18
44,0.323,36,1,1,random,3,109,0,1,0,1,3,1,1,2
45,0.412,50,1,1,random,3,110,0,1,0,1,3,1,1,2
46,39.126,62,2,2,random,3,112,46,182,2,39,546,182,182,273
47,1.608,4,2,1,random,3,113,3,6,2,2,18,6,6,10
48,3.846,31,1,1,sparse,1,114,30,31,1,1,31,31,31,32
49,4.463,37,1,1,sparse,1,115,36,37,1,1,37,37,37,38
50,4.307,31,1,1,full,2,117,30,31,1,1,62,31,31,32
51,13.052,92,1,1,full,3,118,91,92,1,1,276,92,92,93
52,4.565,37,1,1,full,1,119,36,37,1,1,37,37,37,38
53,9.221,66,1,1,sparse,3,120,65,66,1,1,198,66,66,67
54,1.829,12,1,1,sparse,1,121,11,12,1,1,12,12,12,13
55,9.637,66,1,1,full,3,122,65,66,1,1,198,66,66,67
56,0.435,7,2,1,random,2,123,1,2,1,1,4,2,2,3
57,5.033,36,1,1,full,2,124,35,36,1,1,72,36,36,37
58,4.651,32,1,1,sparse,3,125,31,32,1,1,96,32,32,33
59,10.474,74,1,1,full,3,126,73,74,1,1,222,74,74,75
60,1.107,6,1,1,full,2,127,5,6,1,1,12,6,6,7
61,1.331,41,2,1,random,2,131,4,6,2,2,12,6,6,9
62,6.596,53,1,1,full,1,132,52,53,1,1,53,53,53,54
63,7.291,64,2,2,random,3,133,15,35,2,7,105,35,35,52
64,8.812,62,1,1,full,3,134,61,62,1,1,186,62,62,63
65,9.736,86,2,2,random,2,135,15,48,2,8,96,48,48,69
66,1.269,74,2,1,random,2,136,3,6,2,2,12,6,6,10
67,0.235,10,1,1,random,1,137,0,1,0,1,1,1,1,2
68,0.41,1,2,1,sparse,2,139,0,1,0,1,2,1,1,2
69,0.276,99,1,1,random,1,140,0,1,0,1,1,1,1,2
70,10.065,67,1,1,full,3,141,66,67,1,1,201,67,67,68
71,1.109,75,2,1,random,2,142,5,6,1,1,12,6,6,8
72,2.876,24,1,1,full,1,143,23,24,1,1,24,24,24,25
73,8.019,58,1,1,full,3,144,57,58,1,1,174,58,58,59
74,20.616,97,2,1,random,1,145,32,115,2,31,115,115,115,173
75,2.092,18,1,1,full,1,146,17,18,1,1,18,18,18,19
76,0.762,78,1,1,random,3,147,3,4,1,1,12,4,4,5
77,0.316,52,1,1,random,2,148,0,1,0,1,2,1,1,2
78,0.288,10,1,1,random,1,149,0,1,0,1,1,1,1,2
79,4.482,91,2,1,random,2,151,11,23,2,5,46,23,23,35
80,0.768,97,2,1,random,1,152,2,3,1,1,3,3,3,6
81,0.319,63,1,1,random,3,153,0,1,0,1,3,1,1,2
82,0.905,63,2,1,random,1,156,3,4,1,1,4,4,4,7
83,11.055,88,1,1,full,2,158,87,88,1,1,176,88,88,89
84,7.376,51,1,1,full,3,159,50,51,1,1,153,51,51,52
85,9.645,67,1,1,full,3,161,66,67,1,1,201,67,67,68
86,0.522,7,1,1,random,2,162,0,1,0,1,2,1,1,2
87,1.088,70,2,1,random,2,163,3,5,2,2,10,5,5,8
88,1.699,13,2,2,random,2,164,7,10,2,2,20,10,10,13
89,0.45,3,1,1,full,2,165,2,3,1,1,6,3,3,4
90,0.238,30,1,1,random,2,167,0,1,0,1,2,1,1,2
91,0.409,96,1,1,random,1,168,2,3,1,1,3,3,3,4
92,4.513,33,1,1,sparse,2,169,32,33,1,1,66,33,33,34
93,0.451,46,1,1,random,2,172,0,1,0,1,2,1,1,2
94,0.363,1,2,1,random,2,174,0,1,0,1,2,1,1,2
95,8.272,57,1,1,sparse,3,175,56,57,1,1,171,57,57,58
96,0.667,4,1,1,full,2,176,3,4,1,1,8,4,4,5
97,1.71,15,2,1,random,3,178,7,9,2,2,27,9,9,13
98,3.689,26,1,1,full,3,179,25,26,1,1,78,26,26,27
99,2.366,19,1,1,sparse,2,180,18,19,1,1,38,19,19,20
100,0.349,75,1,1,random,2,181,0,1,0,1,2,1,1,2
101,0.318,14,1,1,random,2,183,0,1,0,1,2,1,1,2
102,5.239,36,1,1,sparse,3,184,35,36,1,1,108,36,36,37
103,0.297,15,1,1,random,3,185,0,1,0,1,3,1,1,2
104,11.781,91,1,1,full,1,188,90,91,1,1,91,91,91,92
105,0.357,10,1,1,random,1,190,0,1,0,1,1,1,1,2
106,13.99,98,1,1,sparse,3,191,97,98,1,1,294,98,98,99
107,1.813,48,2,1,random,2,192,8,10,2,2,20,10,10,13
108,1.229,72,2,1,random,3,193,4,6,2,2,18,6,6,10
109,0.235,78,1,1,random,2,194,0,1,0,1,2,1,1,2
110,0.323,84,1,1,random,3,196,0,1,0,1,3,1,1,2
111,7.916,70,1,1,full,1,197,69,70,1,1,70,70,70,71
112,8.786,7,2,1,sparse,3,198,6,38,2,14,114,38,38,59
113,1.033,6,1,1,full,3,200,5,6,1,1,18,6,6,7
114,1.748,98,2,2,random,1,202,4,9,2,3,9,9,9,13
115,1.717,12,1,1,sparse,1,203,11,12,1,1,12,12,12,13
116,6.752,51,1,1,full,2,204,50,51,1,1,102,51,51,52
117,0.348,2,1,1,sparse,1,206,1,2,1,1,2,2,2,3
118,9.515,65,1,1,full,3,207,64,65,1,1,195,65,65,66
119,5.423,36,1,1,sparse,3,208,35,36,1,1,108,36,36,37
120,9.306,72,1,1,sparse,2,209,71,72,1,1,144,72,72,73
121,6.703,50,1,1,full,3,210,49,50,1,1,150,50,50,51
122,0.301,51,1,1,random,3,212,0,1,0,1,3,1,1,2
123,0.24,20,2,1,random,1,213,1,2,1,1,2,2,2,3
124,1.377,67,2,2,random,3,214,5,8,2,3,24,8,8,12
125,0.855,6,2,1,random,1,215,2,4,2,2,4,4,4,6
126,0.334,27,1,1,random,1,216,0,1,0,1,1,1,1,2
127,0.277,37,1,1,random,3,217,0,1,0,1,3,1,1,2
