repo_index,generation_time_sec,input_depth,input_max_branch,input_min_branch,input_tree_type,input_num_roa,input_seed,depth,num_ca,max_branch,leaf_count,num_roa,num_mft,num_crl,num_cert
0,0.961,35,2,2,random,1,45,3,6,2,2,6,6,6,8
1,13.402,10,2,1,sparse,3,46,9,68,2,22,204,68,68,99
2,6.219,46,1,1,sparse,2,47,45,46,1,1,92,46,46,47
3,4.953,32,1,1,full,3,51,31,32,1,1,96,32,32,33
4,0.281,35,1,1,random,2,52,0,1,0,1,2,1,1,2
5,11.663,79,1,1,sparse,3,53,78,79,1,1,237,79,79,80
6,5.991,18,2,2,random,2,54,17,33,2,6,66,33,33,46
7,1.594,12,1,1,sparse,2,55,11,12,1,1,24,12,12,13
8,10.625,72,1,1,sparse,3,56,71,72,1,1,216,72,72,73
9,17.306,6,2,1,full,3,57,5,63,2,32,189,63,63,127
10,11.15,75,1,1,sparse,3,58,74,75,1,1,225,75,75,76
11,3.557,29,1,1,full,1,59,28,29,1,1,29,29,29,30
12,1.342,40,2,1,random,1,60,3,7,2,2,7,7,7,10
13,0.386,64,1,1,random,2,61,0,1,0,1,2,1,1,2
14,10.037,74,1,1,full,2,62,73,74,1,1,148,74,74,75
15,1.833,57,2,2,random,2,63,7,10,2,2,20,10,10,15
16,9.318,61,1,1,sparse,3,64,60,61,1,1,183,61,61,62
17,0.391,10,1,1,random,2,67,0,1,0,1,2,1,1,2
18,10.931,88,1,1,full,1,69,87,88,1,1,88,88,88,89
19,0.941,16,2,2,random,1,70,4,6,2,2,6,6,6,8
20,5.629,42,1,1,full,1,71,41,42,1,1,42,42,42,43
21,1.687,10,1,1,sparse,3,72,9,10,1,1,30,10,10,11
22,4.166,36,1,1,sparse,1,73,35,36,1,1,36,36,36,37
23,10.885,79,1,1,full,2,74,78,79,1,1,158,79,79,80
24,3.951,25,1,1,sparse,3,78,24,25,1,1,75,25,25,26
25,3.706,35,2,2,random,2,80,10,18,2,5,36,18,18,28
26,0.587,94,2,1,random,1,84,1,2,1,1,2,2,2,4
27,3.372,26,1,1,full,1,85,25,26,1,1,26,26,26,27
28,12.158,100,1,1,sparse,1,86,99,100,1,1,100,100,100,101
29,0.284,19,1,1,random,2,87,0,1,0,1,2,1,1,2
30,7.398,51,1,1,full,3,88,50,51,1,1,153,51,51,52
31,0.881,11,2,1,random,1,89,3,5,2,2,5,5,5,8
32,4.006,27,1,1,sparse,3,90,26,27,1,1,81,27,27,28
33,0.282,11,1,1,random,2,91,0,1,0,1,2,1,1,2
34,0.281,70,1,1,random,2,94,0,1,0,1,2,1,1,2
35,12.91,98,1,1,full,1,95,97,98,1,1,98,98,98,99
36,0.239,46,1,1,random,1,98,0,1,0,1,1,1,1,2
37,0.545,75,1,1,random,1,101,2,3,1,1,3,3,3,4
38,0.252,3,1,1,random,2,104,0,1,0,1,2,1,1,2
39,3.759,32,2,2,random,1,107,13,21,2,5,21,21,21,33
40,2.561,17,1,1,sparse,2,108,16,17,1,1,34,17,17,18
41,0.33,36,1,1,random,3,109,0,1,0,1,3,1,1,2
42,0.289,50,1,1,random,3,110,0,1,0,1,3,1,1,2
43,38.881,62,2,2,random,3,112,46,182,2,39,546,182,182,273
44,1.472,4,2,1,random,3,113,3,6,2,2,18,6,6,10
45,4.091,31,1,1,sparse,1,114,30,31,1,1,31,31,31,32
46,4.409,37,1,1,sparse,1,115,36,37,1,1,37,37,37,38
47,4.103,31,1,1,full,2,117,30,31,1,1,62,31,31,32
48,13.279,92,1,1,full,3,118,91,92,1,1,276,92,92,93
49,4.465,37,1,1,full,1,119,36,37,1,1,37,37,37,38
50,8.931,66,1,1,sparse,3,120,65,66,1,1,198,66,66,67
51,1.729,12,1,1,sparse,1,121,11,12,1,1,12,12,12,13
52,9.263,66,1,1,full,3,122,65,66,1,1,198,66,66,67
53,0.457,7,2,1,random,2,123,1,2,1,1,4,2,2,3
54,4.833,36,1,1,full,2,124,35,36,1,1,72,36,36,37
55,4.67,32,1,1,sparse,3,125,31,32,1,1,96,32,32,33
56,10.046,74,1,1,full,3,126,73,74,1,1,222,74,74,75
57,0.916,6,1,1,full,2,127,5,6,1,1,12,6,6,7
58,1.358,41,2,1,random,2,131,4,6,2,2,12,6,6,9
59,6.586,53,1,1,full,1,132,52,53,1,1,53,53,53,54
60,7.331,64,2,2,random,3,133,15,35,2,7,105,35,35,52
61,8.909,62,1,1,full,3,134,61,62,1,1,186,62,62,63
62,9.629,86,2,2,random,2,135,15,48,2,8,96,48,48,69
63,1.479,74,2,1,random,2,136,3,6,2,2,12,6,6,10
64,0.29,10,1,1,random,1,137,0,1,0,1,1,1,1,2
65,0.266,1,2,1,sparse,2,139,0,1,0,1,2,1,1,2
66,0.254,99,1,1,random,1,140,0,1,0,1,1,1,1,2
67,9.399,67,1,1,full,3,141,66,67,1,1,201,67,67,68
68,0.908,75,2,1,random,2,142,5,6,1,1,12,6,6,8
69,3.318,24,1,1,full,1,143,23,24,1,1,24,24,24,25
70,8.43,58,1,1,full,3,144,57,58,1,1,174,58,58,59
71,21.592,97,2,1,random,1,145,32,115,2,31,115,115,115,173
72,2.652,18,1,1,full,1,146,17,18,1,1,18,18,18,19
73,0.883,78,1,1,random,3,147,3,4,1,1,12,4,4,5
74,0.227,52,1,1,random,2,148,0,1,0,1,2,1,1,2
75,0.32,10,1,1,random,1,149,0,1,0,1,1,1,1,2
76,4.765,91,2,1,random,2,151,11,23,2,5,46,23,23,35
77,0.762,97,2,1,random,1,152,2,3,1,1,3,3,3,6
78,0.309,63,1,1,random,3,153,0,1,0,1,3,1,1,2
79,0.868,63,2,1,random,1,156,3,4,1,1,4,4,4,7
80,11.55,88,1,1,full,2,158,87,88,1,1,176,88,88,89
81,7.656,51,1,1,full,3,159,50,51,1,1,153,51,51,52
82,9.962,67,1,1,full,3,161,66,67,1,1,201,67,67,68
83,0.281,7,1,1,random,2,162,0,1,0,1,2,1,1,2
84,1.064,70,2,1,random,2,163,3,5,2,2,10,5,5,8
85,1.883,13,2,2,random,2,164,7,10,2,2,20,10,10,13
86,0.599,3,1,1,full,2,165,2,3,1,1,6,3,3,4
87,0.278,30,1,1,random,2,167,0,1,0,1,2,1,1,2
88,0.462,96,1,1,random,1,168,2,3,1,1,3,3,3,4
89,4.241,33,1,1,sparse,2,169,32,33,1,1,66,33,33,34
90,0.218,46,1,1,random,2,172,0,1,0,1,2,1,1,2
91,0.277,1,2,1,random,2,174,0,1,0,1,2,1,1,2
92,8.808,57,1,1,sparse,3,175,56,57,1,1,171,57,57,58
93,0.984,4,1,1,full,2,176,3,4,1,1,8,4,4,5
94,1.912,15,2,1,random,3,178,7,9,2,2,27,9,9,13
95,3.742,26,1,1,full,3,179,25,26,1,1,78,26,26,27
96,2.757,19,1,1,sparse,2,180,18,19,1,1,38,19,19,20
97,0.252,75,1,1,random,2,181,0,1,0,1,2,1,1,2
98,0.26,14,1,1,random,2,183,0,1,0,1,2,1,1,2
99,5.46,36,1,1,sparse,3,184,35,36,1,1,108,36,36,37
100,0.39,15,1,1,random,3,185,0,1,0,1,3,1,1,2
101,11.208,91,1,1,full,1,188,90,91,1,1,91,91,91,92
102,0.35,10,1,1,random,1,190,0,1,0,1,1,1,1,2
103,14.396,98,1,1,sparse,3,191,97,98,1,1,294,98,98,99
104,1.903,48,2,1,random,2,192,8,10,2,2,20,10,10,13
105,1.399,72,2,1,random,3,193,4,6,2,2,18,6,6,10
106,0.252,78,1,1,random,2,194,0,1,0,1,2,1,1,2
107,0.426,84,1,1,random,3,196,0,1,0,1,3,1,1,2
108,9.364,70,1,1,full,1,197,69,70,1,1,70,70,70,71
109,8.39,7,2,1,sparse,3,198,6,38,2,14,114,38,38,59
110,1.047,6,1,1,full,3,200,5,6,1,1,18,6,6,7
111,1.607,98,2,2,random,1,202,4,9,2,3,9,9,9,13
112,1.668,12,1,1,sparse,1,203,11,12,1,1,12,12,12,13
113,6.744,51,1,1,full,2,204,50,51,1,1,102,51,51,52
114,0.283,2,1,1,sparse,1,206,1,2,1,1,2,2,2,3
