repo_index,generation_time_sec,input_depth,input_max_branch,input_min_branch,input_tree_type,input_num_roa,input_seed,depth,num_ca,max_branch,leaf_count,num_roa,num_mft,num_crl,num_cert
0,0.236,53,1,1,random,1,44,0,1,0,1,1,1,1,2
1,1.061,35,2,2,random,1,45,3,6,2,2,6,6,6,8
2,14.77,10,2,1,sparse,3,46,9,68,2,22,204,68,68,99
3,6.478,46,1,1,sparse,2,47,45,46,1,1,92,46,46,47
4,4.781,32,1,1,full,3,51,31,32,1,1,96,32,32,33
5,0.294,35,1,1,random,2,52,0,1,0,1,2,1,1,2
6,11.237,79,1,1,sparse,3,53,78,79,1,1,237,79,79,80
7,5.667,18,2,2,random,2,54,17,33,2,6,66,33,33,46
8,1.884,12,1,1,sparse,2,55,11,12,1,1,24,12,12,13
9,10.315,72,1,1,sparse,3,56,71,72,1,1,216,72,72,73
10,18.609,6,2,1,full,3,57,5,63,2,32,189,63,63,127
11,10.765,75,1,1,sparse,3,58,74,75,1,1,225,75,75,76
12,3.624,29,1,1,full,1,59,28,29,1,1,29,29,29,30
13,1.342,40,2,1,random,1,60,3,7,2,2,7,7,7,10
14,0.358,64,1,1,random,2,61,0,1,0,1,2,1,1,2
15,9.578,74,1,1,full,2,62,73,74,1,1,148,74,74,75
16,1.919,57,2,2,random,2,63,7,10,2,2,20,10,10,15
17,8.462,61,1,1,sparse,3,64,60,61,1,1,183,61,61,62
18,0.347,10,1,1,random,2,67,0,1,0,1,2,1,1,2
19,10.852,88,1,1,full,1,69,87,88,1,1,88,88,88,89
20,0.996,16,2,2,random,1,70,4,6,2,2,6,6,6,8
21,5.219,42,1,1,full,1,71,41,42,1,1,42,42,42,43
22,1.838,10,1,1,sparse,3,72,9,10,1,1,30,10,10,11
23,4.831,36,1,1,sparse,1,73,35,36,1,1,36,36,36,37
24,10.962,79,1,1,full,2,74,78,79,1,1,158,79,79,80
25,3.811,25,1,1,sparse,3,78,24,25,1,1,75,25,25,26
26,3.541,35,2,2,random,2,80,10,18,2,5,36,18,18,28
27,0.535,94,2,1,random,1,84,1,2,1,1,2,2,2,4
28,3.172,26,1,1,full,1,85,25,26,1,1,26,26,26,27
29,12.629,100,1,1,sparse,1,86,99,100,1,1,100,100,100,101
30,0.274,19,1,1,random,2,87,0,1,0,1,2,1,1,2
31,6.989,51,1,1,full,3,88,50,51,1,1,153,51,51,52
32,0.973,11,2,1,random,1,89,3,5,2,2,5,5,5,8
33,4.029,27,1,1,sparse,3,90,26,27,1,1,81,27,27,28
34,0.295,11,1,1,random,2,91,0,1,0,1,2,1,1,2
35,0.253,70,1,1,random,2,94,0,1,0,1,2,1,1,2
36,12.337,98,1,1,full,1,95,97,98,1,1,98,98,98,99
37,0.335,46,1,1,random,1,98,0,1,0,1,1,1,1,2
38,0.508,75,1,1,random,1,101,2,3,1,1,3,3,3,4
39,0.287,3,1,1,random,2,104,0,1,0,1,2,1,1,2
40,4.031,32,2,2,random,1,107,13,21,2,5,21,21,21,33
41,2.363,17,1,1,sparse,2,108,16,17,1,1,34,17,17,18
42,0.258,36,1,1,random,3,109,0,1,0,1,3,1,1,2
43,0.478,50,1,1,random,3,110,0,1,0,1,3,1,1,2
44,38.752,62,2,2,random,3,112,46,182,2,39,546,182,182,273
45,1.554,4,2,1,random,3,113,3,6,2,2,18,6,6,10
46,3.967,31,1,1,sparse,1,114,30,31,1,1,31,31,31,32
47,5.141,37,1,1,sparse,1,115,36,37,1,1,37,37,37,38
48,4.61,31,1,1,full,2,117,30,31,1,1,62,31,31,32
49,13.128,92,1,1,full,3,118,91,92,1,1,276,92,92,93
50,4.79,37,1,1,full,1,119,36,37,1,1,37,37,37,38
51,9.156,66,1,1,sparse,3,120,65,66,1,1,198,66,66,67
52,1.432,12,1,1,sparse,1,121,11,12,1,1,12,12,12,13
53,9.792,66,1,1,full,3,122,65,66,1,1,198,66,66,67
54,0.376,7,2,1,random,2,123,1,2,1,1,4,2,2,3
55,4.923,36,1,1,full,2,124,35,36,1,1,72,36,36,37
56,5.167,32,1,1,sparse,3,125,31,32,1,1,96,32,32,33
57,10.516,74,1,1,full,3,126,73,74,1,1,222,74,74,75
58,0.953,6,1,1,full,2,127,5,6,1,1,12,6,6,7
59,1.135,41,2,1,random,2,131,4,6,2,2,12,6,6,9
60,6.773,53,1,1,full,1,132,52,53,1,1,53,53,53,54
61,7.727,64,2,2,random,3,133,15,35,2,7,105,35,35,52
62,8.988,62,1,1,full,3,134,61,62,1,1,186,62,62,63
63,9.208,86,2,2,random,2,135,15,48,2,8,96,48,48,69
64,1.458,74,2,1,random,2,136,3,6,2,2,12,6,6,10
65,0.283,10,1,1,random,1,137,0,1,0,1,1,1,1,2
66,0.261,1,2,1,sparse,2,139,0,1,0,1,2,1,1,2
67,0.243,99,1,1,random,1,140,0,1,0,1,1,1,1,2
68,9.588,67,1,1,full,3,141,66,67,1,1,201,67,67,68
69,1.442,75,2,1,random,2,142,5,6,1,1,12,6,6,8
70,3.28,24,1,1,full,1,143,23,24,1,1,24,24,24,25
71,8.307,58,1,1,full,3,144,57,58,1,1,174,58,58,59
72,21.89,97,2,1,random,1,145,32,115,2,31,115,115,115,173
73,2.923,18,1,1,full,1,146,17,18,1,1,18,18,18,19
74,0.764,78,1,1,random,3,147,3,4,1,1,12,4,4,5
75,0.267,52,1,1,random,2,148,0,1,0,1,2,1,1,2
76,0.332,10,1,1,random,1,149,0,1,0,1,1,1,1,2
77,4.625,91,2,1,random,2,151,11,23,2,5,46,23,23,35
78,0.782,97,2,1,random,1,152,2,3,1,1,3,3,3,6
79,0.374,63,1,1,random,3,153,0,1,0,1,3,1,1,2
80,0.971,63,2,1,random,1,156,3,4,1,1,4,4,4,7
81,11.309,88,1,1,full,2,158,87,88,1,1,176,88,88,89
82,8.135,51,1,1,full,3,159,50,51,1,1,153,51,51,52
83,10.147,67,1,1,full,3,161,66,67,1,1,201,67,67,68
84,0.39,7,1,1,random,2,162,0,1,0,1,2,1,1,2
85,1.123,70,2,1,random,2,163,3,5,2,2,10,5,5,8
86,1.922,13,2,2,random,2,164,7,10,2,2,20,10,10,13
87,0.688,3,1,1,full,2,165,2,3,1,1,6,3,3,4
88,0.404,30,1,1,random,2,167,0,1,0,1,2,1,1,2
89,0.473,96,1,1,random,1,168,2,3,1,1,3,3,3,4
90,4.543,33,1,1,sparse,2,169,32,33,1,1,66,33,33,34
91,0.224,46,1,1,random,2,172,0,1,0,1,2,1,1,2
92,0.277,1,2,1,random,2,174,0,1,0,1,2,1,1,2
93,7.845,57,1,1,sparse,3,175,56,57,1,1,171,57,57,58
94,0.595,4,1,1,full,2,176,3,4,1,1,8,4,4,5
95,1.931,15,2,1,random,3,178,7,9,2,2,27,9,9,13
96,3.99,26,1,1,full,3,179,25,26,1,1,78,26,26,27
97,2.734,19,1,1,sparse,2,180,18,19,1,1,38,19,19,20
98,0.368,75,1,1,random,2,181,0,1,0,1,2,1,1,2
99,0.284,14,1,1,random,2,183,0,1,0,1,2,1,1,2
100,5.456,36,1,1,sparse,3,184,35,36,1,1,108,36,36,37
101,0.37,15,1,1,random,3,185,0,1,0,1,3,1,1,2
102,11.614,91,1,1,full,1,188,90,91,1,1,91,91,91,92
103,0.304,10,1,1,random,1,190,0,1,0,1,1,1,1,2
104,14.877,98,1,1,sparse,3,191,97,98,1,1,294,98,98,99
105,2.015,48,2,1,random,2,192,8,10,2,2,20,10,10,13
106,1.328,72,2,1,random,3,193,4,6,2,2,18,6,6,10
107,0.303,78,1,1,random,2,194,0,1,0,1,2,1,1,2
108,0.304,84,1,1,random,3,196,0,1,0,1,3,1,1,2
109,8.989,70,1,1,full,1,197,69,70,1,1,70,70,70,71
110,8.488,7,2,1,sparse,3,198,6,38,2,14,114,38,38,59
111,0.861,6,1,1,full,3,200,5,6,1,1,18,6,6,7
112,1.651,98,2,2,random,1,202,4,9,2,3,9,9,9,13
113,1.525,12,1,1,sparse,1,203,11,12,1,1,12,12,12,13
114,6.579,51,1,1,full,2,204,50,51,1,1,102,51,51,52
115,0.338,2,1,1,sparse,1,206,1,2,1,1,2,2,2,3
116,9.973,65,1,1,full,3,207,64,65,1,1,195,65,65,66
117,5.538,36,1,1,sparse,3,208,35,36,1,1,108,36,36,37
118,9.978,72,1,1,sparse,2,209,71,72,1,1,144,72,72,73
119,7.384,50,1,1,full,3,210,49,50,1,1,150,50,50,51
120,0.253,51,1,1,random,3,212,0,1,0,1,3,1,1,2
121,0.38,20,2,1,random,1,213,1,2,1,1,2,2,2,3
122,1.826,67,2,2,random,3,214,5,8,2,3,24,8,8,12
123,0.792,6,2,1,random,1,215,2,4,2,2,4,4,4,6
124,0.22,27,1,1,random,1,216,0,1,0,1,1,1,1,2
125,0.293,37,1,1,random,3,217,0,1,0,1,3,1,1,2
126,5.181,39,1,1,sparse,2,218,38,39,1,1,78,39,39,40
127,2.553,90,2,1,random,3,219,9,10,1,1,30,10,10,15
128,0.225,96,1,1,random,2,220,0,1,0,1,2,1,1,2
129,0.442,32,2,1,random,2,221,1,2,1,1,4,2,2,3
130,0.25,100,1,1,random,2,222,0,1,0,1,2,1,1,2
131,1.586,9,1,1,full,3,224,8,9,1,1,27,9,9,10
132,12.841,90,1,1,sparse,3,225,89,90,1,1,270,90,90,91
133,8.733,62,1,1,full,2,226,61,62,1,1,124,62,62,63
134,1.392,52,2,1,random,1,227,3,7,2,3,7,7,7,11
135,12.383,97,1,1,full,2,228,96,97,1,1,194,97,97,98
136,9.165,68,1,1,sparse,2,229,67,68,1,1,136,68,68,69
137,13.509,91,1,1,sparse,3,230,90,91,1,1,273,91,91,92
138,0.355,3,1,1,random,3,231,0,1,0,1,3,1,1,2
139,4.564,36,1,1,full,1,232,35,36,1,1,36,36,36,37
140,0.276,88,1,1,random,3,233,0,1,0,1,3,1,1,2
141,5.825,45,1,1,full,1,235,44,45,1,1,45,45,45,46
142,6.989,48,1,1,sparse,3,238,47,48,1,1,144,48,48,49
143,0.236,16,1,1,random,1,239,0,1,0,1,1,1,1,2
144,0.224,79,1,1,random,1,240,0,1,0,1,1,1,1,2
145,13.293,89,1,1,sparse,3,241,88,89,1,1,267,89,89,90
146,6.001,43,1,1,sparse,3,242,42,43,1,1,129,43,43,44
147,0.802,59,2,1,random,2,247,2,4,2,2,8,4,4,6
148,11.667,100,1,1,sparse,1,252,99,100,1,1,100,100,100,101
149,5.009,8,2,1,random,3,255,7,23,2,7,69,23,23,35
150,1.083,63,2,2,random,2,256,4,7,2,2,14,7,7,9
151,3.907,41,2,1,random,3,257,9,15,2,5,45,15,15,26
152,11.188,84,1,1,sparse,2,258,83,84,1,1,168,84,84,85
153,0.945,6,1,1,sparse,2,259,5,6,1,1,12,6,6,7
154,4.055,27,1,1,sparse,3,260,26,27,1,1,81,27,27,28
155,7.946,56,1,1,full,3,261,55,56,1,1,168,56,56,57
156,9.904,41,2,2,random,2,262,20,49,2,11,98,49,49,73
157,2.351,51,2,2,random,3,265,5,11,2,3,33,11,11,17
158,1.257,9,1,1,sparse,1,266,8,9,1,1,9,9,9,10
159,0.343,26,1,1,random,1,267,0,1,0,1,1,1,1,2
160,0.657,97,2,1,random,1,268,1,2,1,1,2,2,2,4
161,1.004,6,1,1,sparse,2,269,5,6,1,1,12,6,6,7
162,3.606,25,1,1,sparse,3,273,24,25,1,1,75,25,25,26
163,0.621,19,2,2,random,1,274,3,4,1,1,4,4,4,5
164,12.919,98,1,1,sparse,2,275,97,98,1,1,196,98,98,99
165,0.314,48,1,1,random,2,276,0,1,0,1,2,1,1,2
166,1.89,12,1,1,sparse,1,277,11,12,1,1,12,12,12,13
167,0.495,53,2,1,random,1,279,1,3,2,2,3,3,3,5
168,2.337,3,2,2,full,2,281,2,7,2,4,14,7,7,15
169,13.282,86,1,1,sparse,3,282,85,86,1,1,258,86,86,87
170,13.0,93,1,1,sparse,2,283,92,93,1,1,186,93,93,94
171,8.321,5,2,2,full,2,284,4,31,2,16,62,31,31,63
172,8.082,63,1,1,sparse,1,286,62,63,1,1,63,63,63,64
173,0.428,72,1,1,random,1,287,2,3,1,1,3,3,3,4
174,5.635,37,2,2,random,1,288,13,31,2,8,31,31,31,45
175,50.335,85,2,1,random,3,291,40,228,2,43,684,228,228,356
176,14.447,99,1,1,full,3,292,98,99,1,1,297,99,99,100
177,3.57,23,1,1,full,3,294,22,23,1,1,69,23,23,24
178,0.286,27,1,1,random,3,298,0,1,0,1,3,1,1,2
179,0.254,47,1,1,random,3,299,0,1,0,1,3,1,1,2
180,0.903,5,1,1,full,3,303,4,5,1,1,15,5,5,6
181,2.511,18,1,1,sparse,2,304,17,18,1,1,36,18,18,19
182,7.298,56,1,1,sparse,1,306,55,56,1,1,56,56,56,57
183,0.2,24,1,1,random,2,308,0,1,0,1,2,1,1,2
184,10.178,71,1,1,sparse,2,310,70,71,1,1,142,71,71,72
185,23.642,34,2,1,random,2,311,33,119,2,30,238,119,119,184
186,11.999,84,1,1,full,3,312,83,84,1,1,252,84,84,85
187,0.569,73,1,1,random,1,313,2,3,1,1,3,3,3,4
188,0.717,4,1,1,full,1,316,3,4,1,1,4,4,4,5
189,7.513,60,1,1,full,1,317,59,60,1,1,60,60,60,61
190,0.828,90,1,1,random,2,318,3,4,1,1,8,4,4,5
191,3.41,23,1,1,sparse,1,319,22,23,1,1,23,23,23,24
192,8.113,58,1,1,sparse,2,320,57,58,1,1,116,58,58,59
193,3.945,36,2,1,random,3,321,11,19,2,4,57,19,19,27
194,12.227,94,1,1,sparse,2,323,93,94,1,1,188,94,94,95
195,10.382,76,1,1,full,3,324,75,76,1,1,228,76,76,77
196,9.951,71,1,1,sparse,3,325,70,71,1,1,213,71,71,72
