repo_index,generation_time_sec,input_depth,input_max_branch,input_min_branch,input_tree_type,input_num_roa,input_seed,depth,num_ca,max_branch,leaf_count,num_roa,num_mft,num_crl,num_cert
0,11.165,82,1,1,sparse,2,42,81,82,1,1,164,82,82,83
1,0.808,5,2,1,random,2,43,4,5,1,1,10,5,5,7
2,0.344,53,1,1,random,1,44,0,1,0,1,1,1,1,2
3,1.088,35,2,2,random,1,45,3,6,2,2,6,6,6,8
4,14.233,10,2,1,sparse,3,46,9,68,2,22,204,68,68,99
5,6.492,46,1,1,sparse,2,47,45,46,1,1,92,46,46,47
6,4.762,32,1,1,full,3,51,31,32,1,1,96,32,32,33
7,0.326,35,1,1,random,2,52,0,1,0,1,2,1,1,2
8,11.431,79,1,1,sparse,3,53,78,79,1,1,237,79,79,80
9,6.066,18,2,2,random,2,54,17,33,2,6,66,33,33,46
10,1.905,12,1,1,sparse,2,55,11,12,1,1,24,12,12,13
11,10.754,72,1,1,sparse,3,56,71,72,1,1,216,72,72,73
12,17.41,6,2,1,full,3,57,5,63,2,32,189,63,63,127
13,11.377,75,1,1,sparse,3,58,74,75,1,1,225,75,75,76
14,3.952,29,1,1,full,1,59,28,29,1,1,29,29,29,30
15,1.055,40,2,1,random,1,60,3,7,2,2,7,7,7,10
16,0.352,64,1,1,random,2,61,0,1,0,1,2,1,1,2
17,10.048,74,1,1,full,2,62,73,74,1,1,148,74,74,75
18,1.924,57,2,2,random,2,63,7,10,2,2,20,10,10,15
19,8.851,61,1,1,sparse,3,64,60,61,1,1,183,61,61,62
20,0.313,10,1,1,random,2,67,0,1,0,1,2,1,1,2
21,10.827,88,1,1,full,1,69,87,88,1,1,88,88,88,89
22,1.024,16,2,2,random,1,70,4,6,2,2,6,6,6,8
23,5.1,42,1,1,full,1,71,41,42,1,1,42,42,42,43
24,1.512,10,1,1,sparse,3,72,9,10,1,1,30,10,10,11
25,4.504,36,1,1,sparse,1,73,35,36,1,1,36,36,36,37
26,10.217,79,1,1,full,2,74,78,79,1,1,158,79,79,80
27,3.6,25,1,1,sparse,3,78,24,25,1,1,75,25,25,26
28,3.64,35,2,2,random,2,80,10,18,2,5,36,18,18,28
29,0.71,94,2,1,random,1,84,1,2,1,1,2,2,2,4
30,3.362,26,1,1,full,1,85,25,26,1,1,26,26,26,27
31,12.531,100,1,1,sparse,1,86,99,100,1,1,100,100,100,101
32,0.325,19,1,1,random,2,87,0,1,0,1,2,1,1,2
33,7.413,51,1,1,full,3,88,50,51,1,1,153,51,51,52
34,1.002,11,2,1,random,1,89,3,5,2,2,5,5,5,8
35,3.947,27,1,1,sparse,3,90,26,27,1,1,81,27,27,28
36,0.269,11,1,1,random,2,91,0,1,0,1,2,1,1,2
37,0.356,70,1,1,random,2,94,0,1,0,1,2,1,1,2
38,12.025,98,1,1,full,1,95,97,98,1,1,98,98,98,99
39,0.455,46,1,1,random,1,98,0,1,0,1,1,1,1,2
40,0.515,75,1,1,random,1,101,2,3,1,1,3,3,3,4
41,0.217,3,1,1,random,2,104,0,1,0,1,2,1,1,2
42,4.105,32,2,2,random,1,107,13,21,2,5,21,21,21,33
43,2.626,17,1,1,sparse,2,108,16,17,1,1,34,17,17,18
44,0.302,36,1,1,random,3,109,0,1,0,1,3,1,1,2
45,0.342,50,1,1,random,3,110,0,1,0,1,3,1,1,2
46,38.661,62,2,2,random,3,112,46,182,2,39,546,182,182,273
47,1.371,4,2,1,random,3,113,3,6,2,2,18,6,6,10
48,3.976,31,1,1,sparse,1,114,30,31,1,1,31,31,31,32
49,4.437,37,1,1,sparse,1,115,36,37,1,1,37,37,37,38
