repo_index,generation_time_sec,input_depth,input_max_branch,input_min_branch,input_tree_type,input_num_roa,input_seed,depth,num_ca,max_branch,leaf_count,num_roa,num_mft,num_crl,num_cert
758,1.488,77,2,2,random,2,1178,5,8,2,2,16,8,8,11
759,9.809,73,1,1,sparse,3,1179,72,73,1,1,219,73,73,74
760,11.632,50,2,2,random,2,1180,23,53,2,11,106,53,53,85
761,6.446,47,1,1,full,3,1181,46,47,1,1,141,47,47,48
762,11.722,87,1,1,full,2,1182,86,87,1,1,174,87,87,88
763,0.423,48,1,1,random,3,1183,0,1,0,1,3,1,1,2
764,8.353,66,1,1,full,1,1184,65,66,1,1,66,66,66,67
765,0.347,33,1,1,random,3,1185,0,1,0,1,3,1,1,2
766,0.767,75,1,1,random,2,1188,3,4,1,1,8,4,4,5
767,0.317,58,1,1,random,3,1190,0,1,0,1,3,1,1,2
768,0.586,96,2,2,random,1,1192,2,3,1,1,3,3,3,5
769,10.312,85,1,1,full,1,1197,84,85,1,1,85,85,85,86
770,0.227,96,1,1,random,1,1199,0,1,0,1,1,1,1,2
771,3.349,25,1,1,full,2,1201,24,25,1,1,50,25,25,26
772,0.914,43,2,2,random,1,1206,3,5,2,2,5,5,5,8
773,0.323,92,1,1,random,1,1207,0,1,0,1,1,1,1,2
774,0.345,4,1,1,random,2,1208,0,1,0,1,2,1,1,2
775,0.92,70,1,1,random,2,1209,4,5,1,1,10,5,5,6
776,40.645,66,2,1,random,3,1213,53,197,2,44,591,197,197,296
777,0.426,36,1,1,random,3,1214,0,1,0,1,3,1,1,2
778,6.758,57,2,1,random,3,1215,16,33,2,7,99,33,33,49
779,8.753,69,1,1,full,1,1216,68,69,1,1,69,69,69,70
780,0.263,7,1,1,random,3,1217,0,1,0,1,3,1,1,2
781,8.65,70,1,1,sparse,1,1218,69,70,1,1,70,70,70,71
782,0.894,68,2,1,random,3,1219,2,3,1,1,9,3,3,6
783,4.726,35,2,1,random,1,1220,17,26,2,6,26,26,26,37
784,2.105,14,1,1,full,2,1224,13,14,1,1,28,14,14,15
785,36.021,49,2,2,random,1,1225,34,203,2,47,203,203,203,300
786,0.297,59,1,1,random,2,1226,0,1,0,1,2,1,1,2
787,10.097,79,1,1,sparse,1,1227,78,79,1,1,79,79,79,80
788,0.463,16,2,1,random,2,1228,1,2,1,1,4,2,2,3
789,1.307,17,2,1,random,2,1229,5,6,1,1,12,6,6,9
790,7.806,49,2,1,random,3,1231,15,34,2,7,102,34,34,52
791,0.561,74,1,1,random,1,1232,2,3,1,1,3,3,3,4
792,31.764,89,2,2,random,1,1235,38,171,2,39,171,171,171,253
793,27.652,69,2,2,random,3,1236,38,122,2,27,366,122,122,188
794,0.499,4,2,1,random,3,1238,1,2,1,1,6,2,2,3
795,0.607,78,2,1,random,2,1241,2,3,1,1,6,3,3,5
796,5.228,94,2,1,random,3,1243,9,23,2,6,69,23,23,34
797,5.382,36,1,1,sparse,2,1244,35,36,1,1,72,36,36,37
798,8.655,69,1,1,sparse,1,1245,68,69,1,1,69,69,69,70
799,2.988,22,1,1,sparse,3,1246,21,22,1,1,66,22,22,23
800,0.367,100,1,1,random,3,1247,0,1,0,1,3,1,1,2
801,9.886,73,1,1,sparse,2,1248,72,73,1,1,146,73,73,74
802,8.908,65,1,1,full,2,1249,64,65,1,1,130,65,65,66
803,2.085,19,2,1,random,2,1250,8,10,2,2,20,10,10,14
804,0.488,90,1,1,random,1,1251,2,3,1,1,3,3,3,4
805,0.251,94,1,1,random,1,1253,0,1,0,1,1,1,1,2
806,8.484,56,1,1,sparse,3,1254,55,56,1,1,168,56,56,57
807,0.55,50,2,1,random,1,1255,1,3,2,2,3,3,3,5
808,9.489,71,1,1,sparse,2,1256,70,71,1,1,142,71,71,72
809,0.597,66,2,1,random,1,1257,1,2,1,1,2,2,2,4
810,9.549,18,2,2,random,3,1258,17,44,2,9,132,44,44,68
811,7.463,50,1,1,full,3,1259,49,50,1,1,150,50,50,51
812,0.457,12,1,1,random,2,1260,0,1,0,1,2,1,1,2
813,0.475,25,2,1,random,1,1262,1,2,1,1,2,2,2,3
814,3.448,22,1,1,full,3,1263,21,22,1,1,66,22,22,23
815,1.374,16,2,2,random,2,1264,8,9,1,1,18,9,9,12
816,0.265,1,1,1,random,2,1265,0,1,0,1,2,1,1,2
817,10.875,90,1,1,full,1,1266,89,90,1,1,90,90,90,91
818,6.829,9,2,1,random,3,1267,8,25,2,9,75,25,25,44
819,1.627,11,1,1,sparse,3,1268,10,11,1,1,33,11,11,12
820,9.814,73,1,1,full,2,1270,72,73,1,1,146,73,73,74
821,5.387,45,1,1,sparse,1,1271,44,45,1,1,45,45,45,46
822,4.206,29,1,1,sparse,2,1272,28,29,1,1,58,29,29,30
823,12.194,85,1,1,sparse,3,1273,84,85,1,1,255,85,85,86
824,4.129,32,1,1,sparse,1,1276,31,32,1,1,32,32,32,33
825,1.195,8,1,1,sparse,2,1278,7,8,1,1,16,8,8,9
826,6.787,94,2,2,random,2,1279,19,33,2,7,66,33,33,49
827,1.813,95,2,2,random,1,1280,7,10,2,2,10,10,10,13
828,3.642,29,1,1,full,1,1281,28,29,1,1,29,29,29,30
829,0.995,7,1,1,full,2,1282,6,7,1,1,14,7,7,8
830,4.913,42,1,1,sparse,1,1283,41,42,1,1,42,42,42,43
831,5.425,43,1,1,sparse,1,1286,42,43,1,1,43,43,43,44
832,7.216,58,1,1,full,1,1287,57,58,1,1,58,58,58,59
833,1.246,87,1,1,random,2,1288,8,9,1,1,18,9,9,10
834,1.045,74,2,1,random,2,1289,3,4,1,1,8,4,4,7
835,2.496,74,2,1,random,1,1291,7,13,2,4,13,13,13,20
836,8.127,53,1,1,sparse,3,1292,52,53,1,1,159,53,53,54
837,0.259,39,1,1,random,2,1293,0,1,0,1,2,1,1,2
838,6.945,47,1,1,sparse,3,1294,46,47,1,1,141,47,47,48
839,0.418,13,2,1,random,1,1295,1,2,1,1,2,2,2,3
840,0.377,62,1,1,random,3,1302,0,1,0,1,3,1,1,2
841,7.499,51,2,1,random,3,1304,20,36,2,8,108,36,36,52
842,1.578,22,2,2,random,2,1305,8,9,1,1,18,9,9,11
843,0.336,62,1,1,random,2,1306,0,1,0,1,2,1,1,2
844,1.066,74,1,1,random,2,1307,5,6,1,1,12,6,6,7
845,9.08,64,1,1,sparse,3,1308,63,64,1,1,192,64,64,65
846,8.151,51,1,1,sparse,3,1314,50,51,1,1,153,51,51,52
847,3.632,27,1,1,full,1,1316,26,27,1,1,27,27,27,28
848,2.697,19,1,1,sparse,3,1320,18,19,1,1,57,19,19,20
849,1.694,61,2,2,random,3,1324,6,8,2,2,24,8,8,12
850,13.305,97,1,1,full,2,1325,96,97,1,1,194,97,97,98
851,7.671,63,1,1,sparse,1,1326,62,63,1,1,63,63,63,64
852,25.12,19,2,2,random,3,1328,18,118,2,28,354,118,118,179
853,6.262,45,1,1,full,2,1330,44,45,1,1,90,45,45,46
854,0.452,7,2,1,random,1,1332,1,2,1,1,2,2,2,3
855,0.362,95,1,1,random,3,1335,0,1,0,1,3,1,1,2
856,9.115,66,1,1,full,3,1336,65,66,1,1,198,66,66,67
857,10.657,81,1,1,full,1,1339,80,81,1,1,81,81,81,82
858,5.772,46,1,1,full,1,1340,45,46,1,1,46,46,46,47
859,1.646,58,2,2,random,1,1341,4,7,2,2,7,7,7,11
860,5.502,39,1,1,full,2,1346,38,39,1,1,78,39,39,40
861,0.413,63,1,1,random,1,1347,0,1,0,1,1,1,1,2
862,0.305,50,1,1,random,1,1348,0,1,0,1,1,1,1,2
863,0.335,1,2,2,random,2,1349,0,1,0,1,2,1,1,2
864,7.796,63,1,1,sparse,1,1350,62,63,1,1,63,63,63,64
865,3.374,21,1,1,sparse,3,1351,20,21,1,1,63,21,21,22
866,6.872,27,2,1,random,2,1353,16,34,2,9,68,34,34,51
867,8.788,69,1,1,full,1,1354,68,69,1,1,69,69,69,70
868,4.59,32,1,1,sparse,3,1356,31,32,1,1,96,32,32,33
869,0.436,2,1,1,sparse,1,1358,1,2,1,1,2,2,2,3
870,8.309,61,1,1,full,3,1359,60,61,1,1,183,61,61,62
871,10.463,82,1,1,sparse,1,1360,81,82,1,1,82,82,82,83
872,4.788,15,2,2,random,2,1361,14,25,2,7,50,25,25,35
873,0.39,7,1,1,random,3,1362,0,1,0,1,3,1,1,2
874,0.256,26,1,1,random,1,1363,0,1,0,1,1,1,1,2
875,0.372,97,1,1,random,3,1364,0,1,0,1,3,1,1,2
876,1.741,64,2,2,random,3,1365,6,9,2,3,27,9,9,14
877,8.396,67,1,1,sparse,2,1366,66,67,1,1,134,67,67,68
878,0.227,53,1,1,random,2,1367,0,1,0,1,2,1,1,2
879,4.2,28,1,1,full,3,1368,27,28,1,1,84,28,28,29
880,5.324,83,2,1,random,3,1370,16,26,2,5,78,26,26,39
881,13.314,91,1,1,sparse,3,1372,90,91,1,1,273,91,91,92
882,0.238,6,1,1,random,1,1373,0,1,0,1,1,1,1,2
883,0.539,2,2,1,random,3,1374,1,2,1,1,6,2,2,4
884,6.079,8,2,1,sparse,2,1375,7,32,2,11,64,32,32,48
885,1.573,60,2,2,random,3,1376,7,8,1,1,24,8,8,11
886,2.799,19,1,1,full,3,1377,18,19,1,1,57,19,19,20
887,0.285,2,1,1,random,1,1378,0,1,0,1,1,1,1,2
888,9.676,74,1,1,full,2,1381,73,74,1,1,148,74,74,75
889,1.955,86,2,1,random,3,1382,5,7,2,2,21,7,7,12
890,5.519,40,1,1,full,1,1384,39,40,1,1,40,40,40,41
891,3.321,20,1,1,full,3,1385,19,20,1,1,60,20,20,21
892,9.655,75,1,1,sparse,1,1386,74,75,1,1,75,75,75,76
893,6.514,10,2,1,random,3,1387,9,29,2,9,87,29,29,44
894,0.336,76,1,1,random,3,1388,0,1,0,1,3,1,1,2
895,1.228,7,1,1,full,1,1389,6,7,1,1,7,7,7,8
896,1.715,12,1,1,sparse,3,1390,11,12,1,1,36,12,12,13
897,0.784,34,2,1,random,1,1392,1,3,2,2,3,3,3,5
898,0.338,51,1,1,random,2,1394,0,1,0,1,2,1,1,2
899,12.289,85,1,1,sparse,3,1395,84,85,1,1,255,85,85,86
900,0.554,10,2,1,random,3,1397,1,2,1,1,6,2,2,3
901,8.656,67,1,1,sparse,1,1399,66,67,1,1,67,67,67,68
902,0.282,80,1,1,random,3,1402,0,1,0,1,3,1,1,2
903,13.64,100,1,1,full,2,1404,99,100,1,1,200,100,100,101
904,8.068,55,1,1,full,3,1405,54,55,1,1,165,55,55,56
905,8.146,24,2,2,random,1,1406,23,45,2,11,45,45,45,65
906,33.899,12,2,1,sparse,3,1407,11,156,2,55,468,156,156,235
907,0.445,5,1,1,random,3,1409,0,1,0,1,3,1,1,2
908,0.266,98,1,1,random,1,1411,0,1,0,1,1,1,1,2
909,8.407,61,1,1,full,2,1412,60,61,1,1,122,61,61,62
910,0.342,18,1,1,random,1,1414,0,1,0,1,1,1,1,2
911,6.032,41,1,1,sparse,3,1417,40,41,1,1,123,41,41,42
912,14.565,100,1,1,sparse,3,1418,99,100,1,1,300,100,100,101
913,9.628,74,1,1,full,1,1419,73,74,1,1,74,74,74,75
914,0.251,8,1,1,random,1,1421,0,1,0,1,1,1,1,2
915,0.643,28,2,2,random,1,1422,3,4,1,1,4,4,4,5
916,31.957,7,2,2,sparse,1,1424,6,127,2,64,127,127,127,255
917,5.882,42,1,1,full,2,1425,41,42,1,1,84,42,42,43
918,1.837,11,1,1,full,3,1426,10,11,1,1,33,11,11,12
919,0.27,98,1,1,random,3,1427,0,1,0,1,3,1,1,2
920,0.37,67,1,1,random,3,1428,0,1,0,1,3,1,1,2
921,2.527,15,1,1,full,2,1429,14,15,1,1,30,15,15,16
922,23.425,37,2,1,random,3,1430,36,107,2,20,321,107,107,158
923,0.545,68,1,1,random,3,1431,2,3,1,1,9,3,3,4
924,8.873,62,1,1,full,2,1432,61,62,1,1,124,62,62,63
925,11.881,94,1,1,full,1,1433,93,94,1,1,94,94,94,95
926,0.23,1,2,1,sparse,2,1434,0,1,0,1,2,1,1,2
927,3.042,38,2,1,random,3,1435,6,13,2,4,39,13,13,21
928,5.7,41,1,1,sparse,3,1436,40,41,1,1,123,41,41,42
929,0.324,28,1,1,random,3,1437,0,1,0,1,3,1,1,2
930,9.091,65,1,1,sparse,3,1439,64,65,1,1,195,65,65,66
931,3.791,31,1,1,sparse,1,1440,30,31,1,1,31,31,31,32
932,11.565,93,1,1,full,1,1442,92,93,1,1,93,93,93,94
933,4.903,32,1,1,sparse,3,1443,31,32,1,1,96,32,32,33
934,12.083,88,1,1,sparse,2,1444,87,88,1,1,176,88,88,89
935,4.484,32,1,1,sparse,2,1445,31,32,1,1,64,32,32,33
936,6.129,44,1,1,full,3,1446,43,44,1,1,132,44,44,45
937,7.179,56,1,1,sparse,2,1448,55,56,1,1,112,56,56,57
938,1.745,13,1,1,sparse,1,1449,12,13,1,1,13,13,13,14
939,0.757,46,2,1,random,1,1451,1,3,2,2,3,3,3,5
940,0.396,35,1,1,random,3,1452,0,1,0,1,3,1,1,2
941,0.254,70,1,1,random,3,1455,0,1,0,1,3,1,1,2
942,0.313,60,1,1,random,1,1456,0,1,0,1,1,1,1,2
943,6.501,44,1,1,full,3,1457,43,44,1,1,132,44,44,45
944,0.359,17,1,1,random,2,1458,0,1,0,1,2,1,1,2
945,0.27,53,1,1,random,1,1459,0,1,0,1,1,1,1,2
946,1.451,87,2,2,random,2,1460,5,8,2,2,16,8,8,11
947,1.095,6,1,1,sparse,2,1461,5,6,1,1,12,6,6,7
948,0.323,34,1,1,random,3,1462,0,1,0,1,3,1,1,2
949,0.289,31,1,1,random,3,1465,0,1,0,1,3,1,1,2
950,13.432,88,1,1,sparse,3,1468,87,88,1,1,264,88,88,89
951,0.345,7,1,1,random,2,1469,0,1,0,1,2,1,1,2
952,2.832,19,1,1,full,2,1471,18,19,1,1,38,19,19,20
953,3.959,29,1,1,sparse,2,1472,28,29,1,1,58,29,29,30
954,1.972,13,1,1,full,2,1473,12,13,1,1,26,13,13,14
955,5.394,8,2,2,random,3,1474,7,22,2,6,66,22,22,37
956,0.347,15,1,1,random,3,1475,0,1,0,1,3,1,1,2
957,0.248,71,1,1,random,1,1476,0,1,0,1,1,1,1,2
958,10.948,75,1,1,sparse,3,1478,74,75,1,1,225,75,75,76
959,36.24,7,2,2,full,3,1479,6,127,2,64,381,127,127,255
960,11.919,91,1,1,sparse,2,1480,90,91,1,1,182,91,91,92
961,0.583,3,2,1,random,1,1481,1,2,1,1,2,2,2,3
962,11.118,80,1,1,full,2,1483,79,80,1,1,160,80,80,81
963,6.151,46,1,1,full,1,1485,45,46,1,1,46,46,46,47
964,5.359,36,1,1,full,3,1488,35,36,1,1,108,36,36,37
965,1.063,55,2,1,random,3,1489,2,4,2,2,12,4,4,7
966,0.244,29,1,1,random,1,1491,0,1,0,1,1,1,1,2
967,10.616,79,1,1,sparse,2,1492,78,79,1,1,158,79,79,80
968,3.603,27,1,1,full,1,1493,26,27,1,1,27,27,27,28
969,3.556,23,1,1,full,3,1494,22,23,1,1,69,23,23,24
970,7.382,55,1,1,full,1,1495,54,55,1,1,55,55,55,56
971,1.467,10,1,1,sparse,2,1496,9,10,1,1,20,10,10,11
972,1.57,11,1,1,full,1,1497,10,11,1,1,11,11,11,12
973,0.376,40,1,1,random,1,1500,0,1,0,1,1,1,1,2
974,9.879,82,1,1,full,1,1501,81,82,1,1,82,82,82,83
975,4.834,22,2,2,random,3,1502,12,24,2,7,72,24,24,33
976,7.521,60,1,1,sparse,1,1503,59,60,1,1,60,60,60,61
977,8.173,54,1,1,sparse,3,1504,53,54,1,1,162,54,54,55
978,2.168,16,1,1,full,2,1505,15,16,1,1,32,16,16,17
979,1.223,6,2,1,random,1,1507,5,7,2,2,7,7,7,11
980,5.761,40,1,1,sparse,2,1508,39,40,1,1,80,40,40,41
981,4.667,36,1,1,full,1,1509,35,36,1,1,36,36,36,37
982,1.749,24,2,1,random,1,1511,5,9,2,2,9,9,9,13
983,8.422,61,1,1,sparse,2,1512,60,61,1,1,122,61,61,62
984,0.472,1,1,1,random,2,1514,0,1,0,1,2,1,1,2
985,0.274,30,1,1,random,2,1516,0,1,0,1,2,1,1,2
986,0.649,51,2,1,random,1,1517,1,3,2,2,3,3,3,5
987,2.364,32,2,2,random,1,1519,6,12,2,3,12,12,12,17
988,7.39,53,1,1,full,3,1520,52,53,1,1,159,53,53,54
989,0.354,1,2,2,sparse,1,1521,0,1,0,1,1,1,1,3
990,0.302,77,1,1,random,2,1522,0,1,0,1,2,1,1,2
991,3.091,7,2,1,sparse,1,1524,6,17,2,4,17,17,17,24
992,10.685,80,1,1,full,2,1526,79,80,1,1,160,80,80,81
993,44.0,46,2,1,random,3,1528,45,195,2,49,585,195,195,303
994,0.209,43,1,1,random,2,1529,0,1,0,1,2,1,1,2
995,0.636,5,2,2,random,1,1530,3,4,1,1,4,4,4,5
996,0.284,92,1,1,random,3,1531,0,1,0,1,3,1,1,2
997,11.088,78,1,1,full,3,1533,77,78,1,1,234,78,78,79
998,0.28,45,1,1,random,3,1534,0,1,0,1,3,1,1,2
999,5.717,40,1,1,full,2,1535,39,40,1,1,80,40,40,41
